ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
5005,POWDER PEPPER BLACK BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"PEPPER,POWDER",,,,,,,,,,,,,,,,,,powder-pepper-black-bayara-330-ml,packages,,no,no,yes,,,instock,55,,no,,,,,DRPOW0097,55,no,,none,15,
5007,POWDER CINNAMON BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"CINNAMON,POWDER",,,,,,,,,,,,,,,,,,powder-cinnamon-bayara-330-ml,packages,,no,no,yes,,,instock,75,,no,,,,,DRPOW0099,75,no,,none,15,
5009,POWDER GINGER BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"GINGER,POWDER",,,,,,,,,,,,,,,,,,powder-ginger-bayara-330-ml,packages,,no,no,yes,,,instock,60,,no,,,,,DRPOW0123,60,no,,none,15,
5011,POWDER PAPRIKA BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"PAPRIKA,POWDER",,,,,,,,,,,,,,,,,,powder-paprika-bayara-330-ml,packages,,no,no,yes,,,instock,55,,no,,,,,DRPOW0124,55,no,,none,15,
5013,MASALA BIRYANI BAYARA 330ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"BIRYANI,MASALA",,,,,,,,,,,,,,,,,,masala-biryani-bayara-330ml,packages,,no,no,yes,,,instock,55,,no,,,,,DRPOW0341,55,no,,none,15,
5015,POWDER COCOA CACAOBARRY 2.5 KG,,,manually,236,,manually,108,,manually,469.57,,CACAOBARRY,simple,Chocolate &amp; Confectionery,COCOA,,,,,,,,,,,,,,,,,,powder-cocoa-cacaobarry-2-5-kg,packages,,no,no,yes,,,instock,680,,no,,,,,DRPOW0155,680,no,,none,15,
5017,RICE BASMATI ROZANA CHEF CHOICE 20 KG,,,manually,236,,manually,108,,manually,469.57,,CHEF CHOICE,simple,Grocery &amp; Food Cupboard,"BASMATI,RICE",,,,,,,,,,,,,,,,,,rice-basmati-rozana-chef-choice-20-kg,packages,,no,no,yes,,,instock,400,,no,,,,,DRICE0098,400,no,,none,0,
5019,"PAPER PLATE 7"" CUPCO 100 PCS",,,manually,236,,manually,108,,manually,469.57,,CUPCO,simple,Cleaning &amp; Household,DISPOSABLES,,,,,,,,,,,,,,,,,,paper-plate-7-cupco-100-pcs,packages,,no,no,yes,,,instock,530,,no,,,,,AMPAP0161,530,no,,none,15,
5021,DONUTS SUGAR 45 GM,,,manually,236,,manually,108,,manually,469.57,,DOOTI DONUTS,simple,Bakery,"BREAD,PRODUCTS",,,,,,,,,,,,,,,,,,donuts-sugar-45-gm,packages,,no,no,yes,,,instock,240,,no,,,,,FZBRE0103,240,no,,none,15,
5025,DONUTS STRAWBERRY 70 GM,,,manually,236,,manually,108,,manually,469.57,,DOOTI DONUTS,simple,Bakery,"BREAD,PRODUCTS",,,,,,,,,,,,,,,,,,donuts-strawberry-70-gm,packages,,no,no,yes,,,instock,240,,no,,,,,FZBRE0104,240,no,,none,15,
