"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","sku","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_wc_pb_bundle_sell_ids","_wc_pb_bundle_sells_title","_wc_pb_bundle_sells_discount","brand","product_category","product_tag","108","1147","1334","1560","236","25","469.57","9.57","disable_add_to_cart","disable_price","manually","onesignal_meta_box_present","onesignal_modify_title_and_content","onesignal_notification_custom_content","onesignal_notification_custom_heading","onesignal_send_notification","price1","price2","rs_page_bg_color","wcfm_policy_product_options"
"THYME BAYARA 330 ML","5003",,,"2021-03-26 20:06:11","thyme-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"DRSPC0047",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","BAYARA,THYME","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER PEPPER BLACK BAYARA 330 ML","5005",,,"2021-03-26 20:06:11","powder-pepper-black-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","55",,,"0","open",,,,,"DRPOW0097",,,,,,"55","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","PEPPER,POWDER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER CINNAMON BAYARA 330 ML","5007",,,"2021-03-26 20:06:11","powder-cinnamon-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","75",,,"0","open",,,,,"DRPOW0099",,,,,,"75","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","CINNAMON,POWDER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER GINGER BAYARA 330 ML","5009",,,"2021-03-26 20:06:11","powder-ginger-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","60",,,"0","open",,,,,"DRPOW0123",,,,,,"60","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","GINGER,POWDER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER PAPRIKA BAYARA 330 ML","5011",,,"2021-03-26 20:06:11","powder-paprika-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","55",,,"0","open",,,,,"DRPOW0124",,,,,,"55","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","PAPRIKA,POWDER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"MASALA BIRYANI BAYARA 330ML","5013",,,"2021-03-26 20:06:11","masala-biryani-bayara-330ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","55",,,"0","open",,,,,"DRPOW0341",,,,,,"55","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","BIRYANI,MASALA","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER COCOA CACAOBARRY 2.5 KG","5015",,,"2021-03-26 20:06:12","powder-cocoa-cacaobarry-2-5-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","680",,,"0","open",,,,,"DRPOW0155",,,,,,"680","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"CACAOBARRY","Chocolate &amp; Confectionery","COCOA","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"RICE BASMATI ROZANA CHEF CHOICE 20 KG","5017",,,"2021-03-26 20:06:12","rice-basmati-rozana-chef-choice-20-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","400",,,"0","open",,,,,"DRICE0098",,,,,,"400","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"CHEF CHOICE","Grocery &amp; Food Cupboard","BASMATI,RICE","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PAPER PLATE 7"" CUPCO 100 PCS","5019",,,"2021-03-26 20:06:12","paper-plate-7-cupco-100-pcs","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","530",,,"0","open",,,,,"AMPAP0161",,,,,,"530","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"CUPCO","Cleaning &amp; Household","DISPOSABLES","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DONUTS SUGAR 45 GM","5021",,,"2021-03-26 20:06:12","donuts-sugar-45-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"FZBRE0103",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"DOOTI DONUTS","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"DONUTS STRAWBERRY 70 GM","5025",,,"2021-03-26 20:06:12","donuts-strawberry-70-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"FZBRE0104",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"DOOTI DONUTS","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"DONUTS PANNACOTTA 69 GM","5028",,,"2021-03-26 20:06:12","donuts-pannacotta-69-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","180",,,"0","open",,,,,"FZBRE0105",,,,,,"180","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"DOOTI DONUTS","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"DONUTS STRIPE 55 GM","5032",,,"2021-03-26 20:06:12","donuts-stripe-55-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"FZBRE0106",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"DOOTI DONUTS","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"DONUTS TRIPLE CHOCOLATE 12 X 69 GM","5036",,,"2021-03-26 20:06:12","donuts-triple-chocolate-12-x-69-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"FZBRE0107",,,,,,"240","no","no",,,,"no",",","-1","-1",,,,,,,,,,,"DOOTI DONUTS","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CHICKEN MORTADELLA WITH PEPPERS EURO GOURMET 1 KG","5040",,,"2021-03-26 20:06:12","chicken-mortadella-with-peppers-euro-gourmet-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","404.15",,,"0","open",,,,,"CHCHI0013",,,,,,"404.15","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"EURO GOURMET","Frozen Foods","CHICKEN,MORTADELLA","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"SYRUP BANANA GIFFARD 100 CL","5042",,,"2021-03-26 20:06:13","syrup-banana-giffard-100-cl","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"DRSYR0026",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"GIFFARD","Grocery &amp; Food Cupboard","BANANA,SYRUP","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"SYRUP CARAMEL GIFFARD 100 CL","5044",,,"2021-03-26 20:06:13","syrup-caramel-giffard-100-cl","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"DRSYR0068",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"GIFFARD","Grocery &amp; Food Cupboard","CARAMEL,SYRUP","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"SYRUP CHOCOLATE GIFFARD 100 CL","5046",,,"2021-03-26 20:06:13","syrup-chocolate-giffard-100-cl","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"DRSYR0069",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"GIFFARD","Grocery &amp; Food Cupboard","CHOCOLATE,SYRUP","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"SYRUP HAZELNUT GIFFARD 100 CL","5048",,,"2021-03-26 20:06:13","syrup-hazelnut-giffard-100-cl","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"DRSYR0070",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"GIFFARD","Grocery &amp; Food Cupboard","HAZELNUT,SYRUP","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"SYRUP STRAWBERRY GIFFARD 100 CL","5050",,,"2021-03-26 20:06:13","syrup-strawberry-giffard-100-cl","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"DRSYR0071",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"GIFFARD","Grocery &amp; Food Cupboard","STRAWBERRY,SYRUP","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"MAYONAISE SACHET HELLMANS 10 GM","5052",,,"2021-03-26 20:06:15","mayonaise-sachet-hellmans-10-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","1036",,,"0","open",,,,,"DRMAY0004",,,,,,"1036","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HELLMANS","Grocery &amp; Food Cupboard","MAYONAISE,SACHET","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"TOMATO KETCHUP PORTION HERMAN 10 GM","5054",,,"2021-03-26 20:06:15","tomato-ketchup-portion-herman-10-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","615",,,"0","open",,,,,"DRTOM0002",,,,,,"615","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HERMAN","Grocery &amp; Food Cupboard","KETCHUP,TOMATO","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GARBAGE ROLL OXO BIO HOTPACK 4 ROLLS","5056",,,"2021-03-26 20:06:15","garbage-roll-oxo-bio-hotpack-4-rolls","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","600",,,"0","open",,,,,"AMBAG0169",,,,,,"600","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","BAGS,GARBAGE,ROLLS","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CAKE BOX 15 CM X 15 CM X 8 CM HOTPACK","5058",,,"2021-03-26 20:06:16","cake-box-15-cm-x-15-cm-x-8-cm-hotpack","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","500",,,"0","open",,,,,"AMMSC1448",,,,,,"500","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CAKE BOX 30 CM X 30 CM X 120 CM HOTPACK","5061",,,"2021-03-26 20:06:16","cake-box-30-cm-x-30-cm-x-120-cm-hotpack","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","1260",,,"0","open",,,,,"AMMSC1449",,,,,,"1260","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CAKE BOARD 12"" HOTPACK 50 PIECE","5063",,,"2021-03-26 20:06:16","cake-board-12-hotpack-50-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","410",,,"0","open",,,,,"AMMSC1450",,,,,,"410","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CAKE BOARD ROUND GOLD WITH HANDLE 12"" HOTPACK","5065",,,"2021-03-26 20:06:16","cake-board-round-gold-with-handle-12-hotpack","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","355",,,"0","open",,,,,"AMMSC1451",,,,,,"355","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
