ID,Title,Content,Excerpt,Date,Post Type,Permalink,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product Visibility,Product categories,Product tags,Status,Attribute Name (color),Attribute Value (color),Attribute In Variations (color),Attribute Is Visible (color),Attribute Is Taxonomy (color),Attribute Position (color),Stock Status,Regular Price,Sale Price,SKU,Manage Stock,Stock,Backorders,Tax Status,Tax Class
5003,THYME BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/thyme-bayara-330-ml/,manual,46,,manual,45,,manual,46,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"BAYARA, THYME",publish,color,,no,no,no,,instock,45,,DRSPC0047,yes,60,no,taxable,standard
5005,POWDER PEPPER BLACK BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/powder-pepper-black-bayara-330-ml/,manual,57,,manual,55,,manual,57,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"PEPPER, POWDER",publish,color,,no,no,no,,instock,55,,DRPOW0097,yes,23.8,no,taxable,standard
5007,POWDER CINNAMON BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/powder-cinnamon-bayara-330-ml/,manual,77,,manual,75,,manual,77,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"CINNAMON, POWDER",publish,color,,no,no,no,,instock,75,,DRPOW0099,yes,36,no,taxable,standard
5009,POWDER GINGER BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/powder-ginger-bayara-330-ml/,manual,62,,manual,60,,manual,62,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"GINGER, POWDER",publish,color,,no,no,no,,instock,60,,DRPOW0123,yes,36.8,no,taxable,standard
5011,POWDER PAPRIKA BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/powder-paprika-bayara-330-ml/,manual,57,,manual,55,,manual,57,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"PAPRIKA, POWDER",publish,color,,no,no,no,,instock,55,,DRPOW0124,yes,44.4,no,taxable,standard
5013,MASALA BIRYANI BAYARA 330ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/masala-biryani-bayara-330ml/,manual,57,,manual,55,,manual,57,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"BIRYANI, MASALA",publish,color,,no,no,no,,instock,55,,DRPOW0341,yes,45.6,no,taxable,standard
5015,POWDER COCOA CACAOBARRY 2.5 KG,,1 X 1 CARTON,31-Dec-69,product,https://shop.ewdc.in/product/powder-cocoa-cacaobarry-2-5-kg/,manual,682,,manual,680,,manual,682,,CACAOBARRY,simple,visible,Chocolate &amp; Confectionery,COCOA,publish,color,,no,no,no,,outofstock,680,,DRPOW0155,yes,0,no,taxable,standard
5017,RICE BASMATI ROZANA CHEF CHOICE 20 KG,,1 X 1 BAG,31-Dec-69,product,https://shop.ewdc.in/product/rice-basmati-rozana-chef-choice-20-kg/,manual,418,,manual,400,,manual,418,,CHEF CHOICE,simple,visible,Grocery &amp; Food Cupboard,"BASMATI, RICE",publish,color,,no,no,no,,outofstock,400,,DRICE0098,yes,0,no,taxable,standard
5019,"PAPER PLATE 7"" CUPCO 100 PCS",,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/paper-plate-7-cupco-100-pcs/,manual,548,,manual,530,,manual,548,,CUPCO,simple,visible,Cleaning &amp; Household,DISPOSABLES,publish,color,,no,no,no,,instock,530,,AMPAP0161,yes,2.8,no,taxable,standard
5021,DONUTS SUGAR 45 GM,,1 X 1 TRAY,31-Dec-69,product,https://shop.ewdc.in/product/donuts-sugar-45-gm/,manual,258,,manual,240,,manual,258,,DOOTI DONUTS,simple,visible,Bakery,"BREAD, PRODUCTS",publish,color,,no,no,no,,instock,240,,FZBRE0103,yes,75.88,no,taxable,standard
